"","file","start_datetime","stop_datetime","region_id","sex","genotype"
"89","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",25,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"90","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",26,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"91","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",27,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"92","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",28,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"93","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",29,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"94","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",30,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"95","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",31,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"96","DAM_20190617/Monitor24.txt","2019-06-17 08:00:00","2019-06-20",32,"M","R19G02-gal4 X uas-dtrpa1 (x) "
"97","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",1,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"98","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",2,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"99","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",3,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"100","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",4,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"101","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",5,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"102","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",6,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"103","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",7,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"104","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",8,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"105","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",9,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"106","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",10,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"107","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",11,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"108","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",12,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"109","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",13,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"110","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",14,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"111","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",15,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"112","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",16,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"113","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",17,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"114","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",18,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"115","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",19,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"116","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",20,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"117","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",21,"M","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (6) X Quas-dtrpa1 \#6"
"118","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",22,"M","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (6) X Quas-dtrpa1 \#6"
"119","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",23,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (6) X Quas-dtrpa1 \#6"
"120","DAM_20190617/Monitor25.txt","2019-06-17 08:00:00","2019-06-20",24,"F","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (6) X Quas-dtrpa1 \#6"
"121","DAM_20190617/Monitor26.txt","2019-06-17 08:00:00","2019-06-20",1,"M","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"122","DAM_20190617/Monitor26.txt","2019-06-17 08:00:00","2019-06-20",2,"M","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
"123","DAM_20190617/Monitor26.txt","2019-06-17 08:00:00","2019-06-20",3,"M","pVIBSSL48-pCasper4-R19G02-DSCP-QF2-hsp70t (4) X Quas-dtrpa1 \#6"
